variable,auc,mutual_info,mw_effect,mw_pvalue,boruta,rank_auc,rank_mutual_info,rank_boruta,rank_mw_pvalue,mean_rank,overall_rank
V374,0.5028331852765888,0.0033133579381094957,0.0056663705531776465,0.7286257099977993,337,378.0,168.0,363.5,378.0,227.55715642749945,327
V364,0.5013097901775657,0.0011788019030301022,0.0026195803551314345,0.8725675703022163,210,448.0,227.0,236.0,448.0,227.96814189257555,328
V137,0.5066161524361521,0.0,0.013232304872304312,0.41781401837824983,269,238.0,378.5,295.5,238.0,228.10445350459457,329
V183,0.502060527474553,0.010073965999339851,0.004121054949105973,0.8007829823991098,420,411.0,56.0,446.5,411.0,228.57519574559979,330
V432,0.503138472310402,0.0,0.00627694462080397,0.7007265191849459,142,370.0,378.5,168.5,370.0,229.42518162979624,331
V13,0.5023453340364962,0.0,0.004690668072992454,0.7739503396533829,113,399.0,378.5,139.5,399.0,229.44348758491336,332
V29,0.5010651445409302,0.00016938042151859456,0.0021302890818604148,0.8962195197616856,184,457.0,254.0,210.0,457.0,230.4740548799404,333
V171,0.5053977243635693,0.004528118913848633,0.010795448727138668,0.508606022558756,474,279.0,143.0,500.0,279.0,230.6271515056397,334
V490,0.5022520518872755,0.008733188970211136,0.004504103774551016,0.7827107896407471,423,401.0,73.0,449.0,401.0,230.9456776974102,335
V73,0.5024886973395868,0.009017446334793844,0.0049773946791734636,0.760542897941861,435,393.0,70.0,461.0,393.0,231.19013572448546,336
V481,0.5007622575624142,0.010545368236593244,0.0015245151248284294,0.9256281372759131,378,470.0,50.0,404.0,470.0,231.23140703431898,337
V182,0.5108012088598521,0.0,0.02160241771970428,0.1859268431912232,419,102.0,378.5,445.0,102.0,231.42148171079782,338
V275,0.5029619882442091,0.0,0.005923976488418248,0.7168084241105991,150,372.0,378.5,176.0,372.0,231.80420210602765,339
V424,0.5095156592407889,0.0,0.019031318481577797,0.24389938552731516,384,139.0,378.5,410.0,139.0,231.93597484638184,340
V331,0.510408879820591,0.0,0.020817759641182043,0.2024225038146512,413,112.0,378.5,439.5,112.0,232.55060562595366,341
V9,0.5044378622483462,0.0013313893972353164,0.008875724496692383,0.5868101660623282,355,327.0,223.0,381.5,327.0,233.0217025415156,342
V282,0.5002051247260737,0.01111168992144429,0.00041024945214740427,0.9799594514263469,370,493.0,43.0,396.0,493.0,233.24498986285658,343
V131,0.5016310775800275,0.0,0.0032621551600549026,0.8416814919143645,94,434.0,378.5,120.0,434.0,233.3354203729786,344
V305,0.5052716414586192,0.0,0.010543282917238495,0.5185581351957267,246,283.0,378.5,272.5,283.0,233.62963953379892,345
V71,0.5024704569193275,0.0,0.0049409138386548035,0.7622448612072747,137,395.0,378.5,163.0,395.0,234.3155612153018,346
V223,0.5024309360087656,0.0,0.004861872017531299,0.7659363849799969,135,397.0,378.5,161.0,397.0,234.316484096245,347
V470,0.5017683607430315,0.0029463271675831404,0.003536721486063099,0.82855521620517,311,426.0,176.0,337.0,426.0,234.95713880405128,348
V250,0.5019933259262294,0.01141325799389481,0.0039866518524587224,0.8071500044885183,458,415.0,40.0,484.5,415.0,235.0767875011221,349
V286,0.5035298413275442,0.002010397047651491,0.007059682655088384,0.6655471496125278,357,359.0,200.0,383.0,359.0,235.66638678740313,350
V193,0.5000889620496857,0.0,0.00017792409937134046,0.9913077251058712,44,497.0,378.5,70.5,497.0,236.74782693127648,351
V170,0.500258725961046,0.011942188119795638,0.0005174519220922935,0.974724217216675,394,491.0,37.0,420.5,491.0,237.36868105430418,352
V139,0.502023246615602,0.0,0.004046493231204096,0.8043135583513965,133,412.0,378.5,159.0,412.0,237.57607838958785,353
V26,0.5005924936510537,0.0,0.0011849873021074764,0.9421584348486729,70,479.0,378.5,96.0,479.0,238.61053960871217,354
V292,0.5027227827329142,0.002158360668997661,0.005445565465828306,0.7388065241223093,347,386.0,195.0,373.0,386.0,238.68470163103058,355
V298,0.5046730676674791,0.0,0.009346135334958205,0.5671405956058784,239,311.0,378.5,265.0,311.0,238.76678514890148,356
V370,0.5079318627501178,0.0,0.015863725500235515,0.3313777507013792,365,191.0,378.5,391.0,191.0,240.20784443767533,357
V493,0.5056194894730375,0.0,0.011238978946074951,0.49134740249055864,289,268.0,378.5,315.0,268.0,240.49783685062263,358
V322,0.5074203309644254,0.0,0.014840661928850807,0.3635085599561485,344,213.0,378.5,370.5,213.0,240.59087713998903,359
V324,0.5015709161939091,0.006679811412096948,0.0031418323878181775,0.8474479237947183,399,437.0,101.0,425.0,437.0,240.96186198094867,360
V263,0.5022862926761832,0.004227221726241126,0.004572585352366487,0.7794918514388323,401,400.0,146.0,427.0,400.0,243.4448729628597,361
V42,0.5032410346734388,0.0,0.0064820693468777835,0.6914413527180855,204,366.0,378.5,230.5,366.0,243.92286033817953,362
V61,0.5087813223216663,0.0,0.01756264464333257,0.2822099907773782,413,158.0,378.5,439.5,158.0,244.07055249769434,363
V136,0.5050050753169354,0.0020774808384735888,0.010010150633870563,0.5399254814993713,465,291.0,197.0,491.0,291.0,244.88498137037485,364
V166,0.5059881379666987,0.0,0.011976275933397451,0.46336794424421635,322,255.0,378.5,348.0,255.0,245.49084198606104,365
V315,0.5086922002682941,0.0,0.017384400536588407,0.28712305246661884,417,160.0,378.5,443.5,160.0,245.57178076311666,366
V200,0.5011013053740758,0.0021719924173662086,0.0022026107481516455,0.8927172123509307,306,456.0,193.0,332.5,456.0,245.59817930308773,367
V270,0.5003321676531427,0.0015587648322579195,0.0006643353062854018,0.9675529778164156,255,488.0,213.0,281.0,488.0,245.74188824445412,368
V145,0.5036263235504946,0.0,0.0072526471009892735,0.6569828699217455,221,357.0,378.5,247.5,357.0,245.91424571748044,369
V76,0.5022030907592111,0.0,0.004406181518422203,0.7873200280265354,175,404.0,378.5,201.0,404.0,246.07183000700664,370
V489,0.503207433899277,0.0,0.006414867798554047,0.6944782696873025,212,368.0,378.5,238.0,368.0,246.29861956742184,371
V133,0.5008709000655375,0.003417510836855042,0.0017418001310750553,0.91506574167407,329,464.0,165.0,355.5,464.0,246.35376643541852,372
V226,0.5084104337763942,0.0,0.016820867552788443,0.3030340844370327,411,170.0,378.5,437.5,170.0,246.57575852110926,373
V140,0.5013582712945707,0.0,0.0027165425891412243,0.8678932991740643,136,446.0,378.5,162.0,446.0,246.8419733247935,374
V398,0.5048369114424396,0.0,0.00967382288487928,0.553628162050382,282,301.0,378.5,308.5,301.0,247.1384070405126,375
V353,0.5038853695189136,0.0,0.007770739037827434,0.6342128948182777,235,350.0,378.5,261.0,350.0,247.53355322370456,376
V494,0.5019029238433653,0.0,0.0038058476867306457,0.8157352879152213,166,420.0,378.5,192.0,420.0,247.8289338219788,377
V463,0.5064132677616893,0.0,0.012826535523378535,0.4322342628303554,340,246.0,378.5,366.5,246.0,247.85805856570758,378
V349,0.504588265713642,0.0,0.00917653142728403,0.5741958520970005,271,316.0,378.5,297.5,316.0,248.14354896302424,379
V276,0.5028519057079075,0.0,0.005703811415814997,0.7269040775397821,213,376.0,378.5,239.0,376.0,248.55672601938494,380
V426,0.502724382769779,0.0,0.005448765539557976,0.7386586435980818,206,385.0,378.5,232.5,385.0,249.18466466089953,381
V266,0.5019659652958404,0.0025906496871688223,0.003931930591680843,0.8097459826068619,370,416.0,184.0,396.0,416.0,249.2024364956517,382
V75,0.504918193315174,0.0,0.009836386630347915,0.5469837522027458,296,296.0,378.5,322.0,296.0,249.2617459380507,383
V129,0.5010034631197903,0.00802279740529177,0.002006926239580542,0.9021982214455976,429,459.0,82.0,455.5,459.0,249.3505495553614,384
V401,0.5054262050197637,0.0,0.010852410039527305,0.5063719007756519,317,276.0,378.5,343.5,276.0,249.62659297519392,385
V456,0.508124347184959,0.0,0.01624869436991827,0.31977794455122366,410,184.0,378.5,436.0,184.0,249.7049444861378,386
V79,0.5024619767239438,0.0010063309767216477,0.00492395344788743,0.763036517091849,346,396.0,231.0,372.0,396.0,249.94075912927298,387
V202,0.5027327029614762,0.0008358895419133816,0.0054654059229524155,0.7378898208171063,352,384.0,237.0,378.5,384.0,250.0594724552043,388
V15,0.5041356152845762,0.0,0.008271230569152355,0.6125401616504005,257,341.0,378.5,283.5,341.0,250.9031350404126,389
V38,0.5080859463002028,0.0,0.016171892600405524,0.3220706543277755,415,185.0,378.5,441.0,185.0,251.20551766358196,390
V410,0.5068767984414361,0.0,0.013753596882872143,0.3997104611898613,372,230.0,378.5,398.5,230.0,251.84992761529747,391
V409,0.5028539857558318,0.0036313049959122434,0.00570797151166369,0.7267128699536127,445,375.0,161.0,471.5,375.0,252.0566782174884,392
V391,0.500595533721097,0.0039977812690374925,0.0011910674421938827,0.941862175684647,351,477.0,154.0,377.0,477.0,252.23546554392115,393
V248,0.5025424585782456,0.0,0.0050849171564912865,0.7555333519519384,215,389.0,378.5,241.5,389.0,252.438883337988,394
V232,0.5087123607327914,0.0,0.017424721465582493,0.28600663805994975,449,159.0,378.5,475.0,159.0,253.19650165951498,395
V80,0.5013670714973273,0.003556453830565909,0.002734142994654576,0.8670453241797454,387,445.0,164.0,413.5,445.0,255.84176133104495,396
V319,0.5012294683269503,0.0,0.002458936653900512,0.8803214658488572,165,453.0,378.5,191.0,453.0,255.8450803664622,397
V484,0.50122970833248,0.004051219363450542,0.002459416664959968,0.8802982793553094,394,452.0,152.0,420.5,452.0,256.34507456983886,398
V330,0.5057134116370041,0.0,0.011426823274008235,0.4841339558504739,355,265.0,378.5,381.5,265.0,256.3710334889626,399
V31,0.5006918559403608,0.006594546427683534,0.0013837118807218385,0.9324798189835041,424,471.0,104.0,450.5,471.0,256.6081199547459,400
V33,0.5017043592684376,0.0,0.003408718536875077,0.8346689716591865,192,430.0,378.5,218.5,430.0,256.95866724291477,401
V205,0.5016920389845781,0.0,0.003384077969156518,0.8358470295496708,192,431.0,378.5,218.5,431.0,257.20896175738744,402
V476,0.500791218229668,0.0037310306916134017,0.0015824364593359785,0.9228111758863805,378,468.0,159.0,404.0,468.0,257.9807027939716,403
V181,0.5046085861818257,0.0,0.009217172363651271,0.5725014718444849,313,314.0,378.5,339.0,314.0,258.01812536796115,404
V147,0.5026474209965798,0.001211817694428241,0.005294841993159549,0.7457825533169762,392,388.0,226.0,418.0,388.0,258.18644563832925,405
V40,0.5019266843908083,0.0,0.003853368781616684,0.8134766128869897,208,419.0,378.5,234.5,419.0,258.20336915322173,406
