k,kind,model,cv_score,cv_score_std,features,best_params,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std
3,rand_2,SVM_RBF,550.0,55.226805085936306,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__C': np.float64(0.3981590402901517), 'clf__gamma': np.float64(0.1977665237300731)}",0.5996666666666667,0.01302134998974975,0.59930170553549,0.01292868348250232,0.6154910882958949,0.016074566500617202
3,top+2,SVM_RBF,535.0,49.49747468305833,"['V176', 'V380', 'V160']","{'clf__C': np.float64(0.1984825563044797), 'clf__gamma': np.float64(0.1314194139850142)}",0.5996666666666667,0.006182412330330475,0.5991916167442697,0.006158849081958575,0.6228286026129094,0.005725811755690039
3,top+1,RandomForest,530.0,44.15880433163923,"['V191', 'V176', 'V380']","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.6,0.011430952132988175,0.5994296922493921,0.011278824761361116,0.629241166436584,0.017472805826488424
3,top+1,SVM_RBF,530.0,21.213203435596427,"['V191', 'V176', 'V380']","{'clf__C': np.float64(83.01235711169913), 'clf__gamma': np.float64(0.001761619320235845)}",0.5996666666666667,0.00895668589502961,0.5986443163222963,0.008763601105367443,0.6737853894233664,0.014513400510710293
3,top+2,LightGBM,530.0,36.742346141747674,"['V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.010354499341257054), 'clf__max_depth': 3, 'clf__n_estimators': 427, 'clf__num_leaves': 42, 'clf__subsample': np.float64(0.9367764923887465)}",0.5923333333333334,0.012119772641798572,0.5918648332490816,0.012067795732901097,0.61400300944676,0.01606677750536852
3,top+2,ExtraTrees,530.0,42.42640687119285,"['V176', 'V380', 'V160']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 7, 'clf__n_estimators': 234}",0.5976666666666666,0.009741092797468313,0.5971409567884666,0.00967988372034479,0.6235056683859875,0.009358298780918118
3,rand_2,RandomForest,520.0,95.13148795220224,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__max_depth': 5, 'clf__min_samples_leaf': 11, 'clf__n_estimators': 385}",0.5966666666666667,0.014383632673594292,0.5962049555462744,0.014325064896537423,0.6179100591189407,0.016686007858461433
3,top,LightGBM,515.0,36.742346141747674,"['V255', 'V191', 'V176']","{'clf__learning_rate': np.float64(0.044329708245908296), 'clf__max_depth': 5, 'clf__n_estimators': 225, 'clf__num_leaves': 58, 'clf__subsample': np.float64(0.7864155497496417)}",0.5910000000000001,0.009899494936611674,0.5907860444913541,0.009925395111257944,0.5980161038152096,0.010232805109015064
3,top+1,GradientBoosting,510.0,39.370039370059054,"['V191', 'V176', 'V380']","{'clf__learning_rate': np.float64(0.012447420336780599), 'clf__max_depth': 2, 'clf__n_estimators': 362, 'clf__subsample': np.float64(0.7694648776168372)}",0.6043333333333334,0.00910433352249845,0.6038557708935989,0.008999537859072078,0.628474710721527,0.011835783612765983
3,top+1,XGBoost,490.0,67.45368781616021,"['V191', 'V176', 'V380']","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.6016666666666667,0.006018490028422602,0.6012923506372221,0.005920984455209266,0.6183817909968274,0.00824102702979749
3,rand_2,GradientBoosting,485.0,64.8074069840786,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 2, 'clf__n_estimators': 130, 'clf__subsample': np.float64(0.6904253682679529)}",0.601,0.0175689119374726,0.6006130929855487,0.017504852990375793,0.6181978023560365,0.020581044318328474
3,rand_2,XGBoost,485.0,0.0,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__colsample_bytree': np.float64(0.9771170310658897), 'clf__learning_rate': np.float64(0.018968367710792175), 'clf__max_depth': 4, 'clf__n_estimators': 267, 'clf__subsample': np.float64(0.6482976441389584)}",0.6023333333333333,0.01851725921644155,0.6020151501530472,0.018530036973529767,0.6160936494317938,0.016839277682340635
3,top+1,LightGBM,460.0,46.36809247747852,"['V191', 'V176', 'V380']","{'clf__learning_rate': np.float64(0.010354499341257054), 'clf__max_depth': 3, 'clf__n_estimators': 427, 'clf__num_leaves': 42, 'clf__subsample': np.float64(0.9367764923887465)}",0.5983333333333333,0.007586537784494035,0.5978582882652901,0.007478721520742444,0.6208101029763333,0.010481469521915955
4,top+1,XGBoost,455.0,57.879184513951124,"['V191', 'V176', 'V380', 'V160']","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.624,0.0035590260840104404,0.6236574888435265,0.0035150246411828024,0.6426961900329421,0.004064630365345264
3,rand_2,LightGBM,450.0,50.99019513592785,"[np.str_('V176'), np.str_('V416'), np.str_('V224')]","{'clf__learning_rate': np.float64(0.049995476341841996), 'clf__max_depth': 5, 'clf__n_estimators': 220, 'clf__num_leaves': 50, 'clf__subsample': np.float64(0.9046322502830205)}",0.598,0.016970562748477157,0.5977417086032148,0.01694841906075935,0.6077659449020582,0.01710904778793161
